id,provenience,ancient_name,modern_name,total_occurences
299,uncertain (mod. Amran),uncertain,Amran,0
298,Pī-Kasî (mod. Tell Abu Antiq),Pī-Kasî,Tell Abu Antiq,0
297,uncertain (mod. Rabat Tepe),uncertain,Rabat Tepe,0
296,Nereb (mod. Neirab),Nereb,Neirab,0
295,uncertain (mod. Tell Ghdairife),uncertain,Tell Ghdairife,0
293,uncertain (mod. Tell al-Hawa),uncertain,Tell al-Hawa,0
268,uncertain (mod. Umm el-Hafriyat),uncertain,Umm el-Hafriyat,0
266,Akhetaten (mod. el-Amarna),Akhetaten,el-Amarna,0
316,Baḫe (mod. uncertain),Baḫe,uncertain,0
237,uncertain (mod. Behistun),uncertain,Behistun,0
235,uncertain (mod. Abu Halawa),uncertain,Abu Halawa,0
234,Kar-Tukulti-Ninurta (mod. Tulul al-ʿAqir),Kar-Tukulti-Ninurta,Tulul al-ʿAqir,0
233,uncertain (mod. Tell Abu Qubur),uncertain,Tell Abu Qubur,0
231,uncertain (mod. Beisan),uncertain,Beisan,0
230,uncertain (mod. Kurkh),uncertain,Kurkh,0
229,uncertain (mod. Tawfiqiyah),uncertain,Tawfiqiyah,0
228,uncertain (mod. Til-Buri),uncertain,Til-Buri,0
227,uncertain (mod. Alisar),uncertain,Alisar,0
226,uncertain (mod. Tell Ubaid),uncertain,Tell Ubaid,0
225,Hummanu (mod. uncertain),Hummanu,uncertain,0
224,uncertain (mod. Judi Dagh),uncertain,Judi Dagh,0
223,Marad (mod. Wanna-wa-Sadum),Marad,Wanna-wa-Sadum,0
222,Gasur/Nuzi (mod. Yorgan Tepe),Gasur/Nuzi,Yorgan Tepe,0
221,uncertain (mod. Tell Abu Harmal),uncertain,Tell Abu Harmal,0
220,uncertain (mod. Dura-Europus),uncertain,Dura-Europus,0
219,uncertain (mod. Tell Yarah),uncertain,Tell Yarah,0
218,Rusahinili (mod. Toprakkale),Rusahinili,Toprakkale,0
217,Nagar (mod. Tell Brak),Nagar,Tell Brak,0
215,uncertain (mod. Umm al-Wawīya),uncertain,Umm al-Wawīya,0
236,Bit-ḫulummu (mod. uncertain),Bit-ḫulummu,uncertain,0
238,uncertain (mod. Nessana),uncertain,Nessana,0
264,uncertain (mod. Old Makhmur),uncertain,Old Makhmur,0
239,Alu-šabtu (mod. uncertain),Alu-šabtu,uncertain,0
263,Huzirina (mod. Sultantepe),Huzirina,Sultantepe,0
262,uncertain (mod. Mazyad),uncertain,Mazyad,0
260,uncertain (mod. Beydar),uncertain,Beydar,0
259,"uncertain (mod. Tas-Silg, Malta)",uncertain,"Tas-Silg, Malta",0
258,Elammu (mod. uncertain),Elammu,uncertain,0
