,Text,Lemma,POS,Tag,Dep,Shape,Is_Alpha,Is_Stop
8036,SˇS,sˇs,ADP,ADP,punct,XxX,True,False
8037,2,2,NUM,NUM,nummod,d,False,False
8038,iv,iv,NOUN,NOUN,dep,xx,True,False
8039,22,22,PRON,PRON,nmod,dd,False,False
8040,),),PUNCT,PUNCT,punct,),False,False
8041,",",",",PUNCT,PUNCT,punct,",",False,False
8042,deux,deux,NUM,NUM,nummod,xxxx,True,True
8043,textes,texte,NOUN,NOUN,dep,xxxx,True,False
8044,très,très,ADV,ADV,advmod,xxxx,True,True
8045,proches,proche,ADJ,ADJ,amod,xxxx,True,False
8046,rédigés,rédiger,ADJ,ADJ,amod,xxxx,True,False
8047,sous,sou,ADP,ADP,case,xxxx,True,True
8048,la,le,DET,DET,det,xx,True,True
8049,responsabilité,responsabilité,NOUN,NOUN,obl:arg,xxxx,True,False
8050,de,de,ADP,ADP,case,xx,True,True
8051,l,l,DET,DET,det,x,True,False
8052,u,u,ADP,ADP,amod,x,True,False
8053,ga,ga,NOUN,NOUN,nmod,xx,True,False
8054,lku,lku,NOUN,NOUN,nmod,xxx,True,False
8055,;,;,PUNCT,PUNCT,punct,;,False,False
8056,lku,lku,NOUN,NOUN,ROOT,xxx,True,False
8057,;,;,PUNCT,PUNCT,punct,;,False,False
8058,structure,structure,NOUN,NOUN,ROOT,xxxx,True,False
8059,:,:,PUNCT,PUNCT,punct,:,False,False
8060,sˇu,sˇu,PROPN,PROPN,nmod,xxx,True,False
8061,-,-,PROPN,PROPN,punct,-,False,False
8062,nigˆ,nigˆ,PROPN,PROPN,conj,xxxx,True,False
8063,in,in,X,X,flat:name,xx,True,False
8064,2,2,NUM,NUM,dep,d,False,False
8065,n,n,NOUN,NOUN,case,x,True,False
8066,gˆ,gˆ,DET,DET,det,xx,True,False
8067,urusˇ,urusˇ,NOUN,NOUN,parataxis,xxxx,True,False
8068,u,u,ADP,ADP,case,x,True,False
8069,4,4,NUM,NUM,nummod,d,False,False
8070,1-sˇe,1-sˇe,NOUN,NOUN,nmod,d-xxx,False,False
8071,3,3,NUM,NUM,nummod,d,False,False
8072,g,gramme,NOUN,NOUN,nmod,x,True,False
8073,u,u,ADP,ADP,case,x,True,False
8074,r,r,PRON,PRON,nmod,x,True,False
8075,u,u,ADP,ADP,advmod,x,True,False
8076,m,m,ADP,ADP,fixed,x,True,False
8077,2,2,NUM,NUM,nummod,d,False,False
8078,ak,ak,NOUN,NOUN,nmod,xx,True,False
8079,a,avoir,AUX,AUX,nmod,x,True,True
8080,-,-,NOUN,NOUN,nummod,-,False,False
8081,sˇa,sˇa,PROPN,PROPN,obj,xxx,True,False
8082,3,3,NUM,NUM,dep,d,False,False
8083,de,de,ADP,ADP,case,xx,True,True
8084,n,n,NOUN,NOUN,nmod,x,True,False
8085,l,l,DET,DET,det,x,True,False
8086,l,l,DET,DET,det,x,True,False
8087,i,i,ADP,ADP,acl,x,True,True
8088,l,l,DET,DET,det,x,True,False
8089,2e,deuxième,ADJ,ADJ,obl:mod,dx,False,False
8090,2e,deuxième,ADJ,ADJ,nmod,dx,False,False
8091,p,p,NOUN,NOUN,punct,x,True,False
8092,p,p,NOUN,NOUN,nsubj,x,True,False
8093,a,avoir,AUX,AUX,aux:tense,x,True,True
8094,3d,3d,ADJ,ADJ,parataxis,dx,False,False
8095,3d,3d,ADJ,ADJ,obj,dx,False,False
